"Name","Characters","Entities","Fluent Templates","Ground Fluents","Action Templates","Ground Actions","Trigger Templates","Ground Triggers","Goal","Author Temporal Limit","Character Temporal Limit","Epistemic Limit","Times Solved","Unique Planners Solved","Min Nodes Visited","Max Nodes Visited","Avg. Nodes Visited","Nodes Visited Std.","Min Nodes Generated","Max Nodes Generated","Avg. Nodes Generated","Nodes Generated Std.","Min Time (ms)","Max Time (ms)","Avg. Time (ms)","Time Std. (ms)"
"space_any",2,11,9,23,10,29,10,58,1.0,9,3,1,120,12,2,26,7.341666666666667,6.774333710574217,12,329,56.858333333333334,70.48088344051561,0,24,2.691666666666667,3.9723960723416756
"space_two",2,11,9,23,10,29,10,58,2.0,9,3,1,120,12,6,30,15.1,8.287943049997386,50,351,133.80833333333334,98.87587301201894,1,25,6.441666666666666,6.430131975490254
"space_three",2,11,9,23,10,29,10,58,3.0,9,3,1,120,12,6,112,30.375,26.31541452583764,54,1765,293.93333333333334,386.22805726956494,2,101,15.608333333333333,21.93220456821937
"treasure",2,6,2,4,4,5,0,0,1.0,4,4,3,120,12,22,74,44.583333333333336,15.918848018064065,77,169,105.85,28.665789715268605,0,15,1.0083333333333333,1.4747645763156745
"fantasy_any",4,11,9,61,8,76,12,130,1.0,9,3,2,120,12,2,285,62.675,92.05932530167705,43,1967,536.0666666666667,631.635637760322,2,241,50.608333333333334,66.9975491881772
"secretagent",2,12,4,12,4,44,6,68,1.0,8,8,1,120,12,30,665,254.46666666666667,176.7159648198831,107,828,496.19166666666666,272.45031032689644,9,51,22.608333333333334,10.117061359681259
"space_four",2,11,9,23,10,29,10,58,4.0,9,3,1,120,12,42,4397,631.9166666666666,1091.6315814972659,300,39687,5008.375,9483.039261459113,16,2610,322.8,659.3154985791452
"raiders",3,9,5,21,5,39,4,66,1.0,7,4,1,120,12,48,4571,913.1333333333333,1182.6390893064358,455,11048,3931.9083333333333,2881.883782053657,19,683,206.65,178.01346625091784
"space_all",2,11,9,23,10,29,10,58,5.0,9,3,1,120,12,761,4397,1327.1166666666666,829.089492388421,5677,39687,10612.433333333332,7611.710297006549,257,2677,592.6,562.1853104923084
"bribery",3,5,4,16,5,27,0,0,1.0,5,5,2,120,12,2,22368,2880.475,6237.716255386119,32,53998,7594.483333333334,15014.403235994918,0,496,112.61666666666666,178.33910504678698
"fantasy_two",4,11,9,61,8,76,12,130,2.0,9,3,2,120,12,796,73851,11800.616666666667,20499.7425260999,13019,1054073,139980.30833333332,282136.49451892945,2074,77196,12762.783333333333,19873.728610145667
"gramma_any",4,15,6,73,7,812,11,992,1.0,6,5,2,120,12,1618,64376,14296.091666666667,19518.568599326078,6488,175886,55085.25833333333,42897.02707968154,2643,46498,24708.95,13064.619053541774
"deerhunter_any",3,8,7,32,8,28,7,69,1.0,10,6,1,120,12,65,89805,16465.216666666667,28545.454908555726,485,519888,77950.05833333333,142430.8861053489,43,33325,5471.8,8597.045040400028
"jailbreak_lose",3,14,8,26,13,106,2,54,1.0,7,6,1,110,11,427,1000000,195538.71666666667,325836.2487808918,5118,1896811,342669.5333333333,564961.2971605362,179,50420,13370.916666666666,16035.436608016706
"basketball_any",4,11,8,81,8,168,6,336,1.0,7,5,2,109,12,732,1000000,182200.13333333333,313364.1059692632,8755,5110439,787661.4,1320068.8228186974,1078,1324582,152026.91666666666,252210.27372768347
"gramma_win",4,15,6,73,7,812,11,992,2.0,6,5,2,100,10,2957,1000000,310745.9,354570.3241681732,45569,4005329,1035867.6416666667,1062474.7873610526,19779,3545651,671062.1416666667,892295.6825765428
"hospital_any",4,13,6,48,4,102,4,184,1.0,11,5,3,98,10,23,1000000,271551.01666666666,405712.1445355268,545,4081137,1279073.6666666667,1534764.829964428,164,922722,183423.55,278167.36582603917
"lovers",3,10,7,40,6,312,9,375,1.0,5,5,2,61,7,4661,1000000,603534.0333333333,460413.58036836336,90217,24969498,4662326.816666666,6942049.529856518,4510,8424819,1281112.9666666666,2167072.540010094
"deerhunter_both",3,8,7,32,8,28,7,69,2.0,10,6,1,50,5,41440,1000000,712282.1333333333,390239.0533006221,212971,10721164,4990995.458333333,3753367.6954799527,31536,4929516,1434438.8833333333,1532569.7027545068
"jailbreak_escape",3,14,8,26,13,106,2,54,3.0,7,6,1,50,5,101473,1000000,714677.525,390388.7972736912,1061060,13421090,3579717.125,3735313.0888734944,21028,992472,233351.00833333333,239382.34602101496
"basketball_both",4,11,8,81,8,168,6,336,2.0,7,5,2,20,2,46040,1000000,879068.525,287910.69038838433,1002509,25389202,7140892.175,6756833.973131592,125529,4848949,2015738.6833333333,1755016.4275139326
"jailbreak_revenge",3,14,8,26,13,106,2,54,6.0,7,6,1,10,1,202696,1000000,933722.425,219818.74278590942,1217711,14615930,5031825.041666667,4366259.5096532395,25730,978435,364905.49166666664,308514.46596097125
"fantasy_all",4,11,9,61,8,76,12,130,3.0,9,3,2,10,1,690346,1000000,974195.7583333333,85582.987615335,9285312,15504283,1.3160398866666667E7,2485838.634867931,1219644,5622849,3247707.966666667,1242683.5242711366
"western",4,10,12,95,9,352,17,624,1.0,8,5,1,1,1,723499,1000000,997695.825,25135.581736740707,1885430,39351298,1.5384119758333333E7,1.2548869241432037E7,501250,27408046,9547712.783333333,8020869.765182743
"hospital_both",4,13,6,48,4,102,4,184,2.0,11,5,3,0,0,1000000,1000000,1000000.0,0.0,1379971,25633701,1.14723279E7,8913620.824364416,141472,6851618,2252819.8666666667,2169564.632817964
"aladdin_both",5,8,14,100,12,182,14,264,2.0,13,10,2,0,0,1000000,1000000,1000000.0,0.0,1494545,35004125,1.6063337341666667E7,1.0213850280359587E7,538172,10741108,4950034.916666667,3379300.3956041066
"aladdin_any",5,8,14,100,12,182,14,264,1.0,13,10,2,0,0,1000000,1000000,1000000.0,0.0,1494545,35004125,1.6063337341666667E7,1.0213850280359587E7,519548,10878897,4977143.058333334,3405184.655575417
