"Problem","Planner","Run","Success?","Plan Length","Nodes Visited","Nodes Generated","Time (ms)"
"bribery","BFS",1,true,2,9,161,3
"bribery","BFS",2,true,2,10,177,0
"bribery","BFS",3,true,2,9,161,1
"bribery","BFS",4,true,2,8,145,1
"bribery","BFS",5,true,2,9,161,1
"bribery","BFS",6,true,2,8,145,1
"bribery","BFS",7,true,2,10,177,1
"bribery","BFS",8,true,2,10,177,0
"bribery","BFS",9,true,2,10,177,1
"bribery","BFS",10,true,2,9,161,0
"bribery","EFS",1,true,2,22361,53920,441
"bribery","EFS",2,true,2,22361,53920,564
"bribery","EFS",3,true,2,22360,53917,571
"bribery","EFS",4,true,2,22367,53995,439
"bribery","EFS",5,true,2,22368,53998,556
"bribery","EFS",6,true,2,22368,53998,425
"bribery","EFS",7,true,2,22361,53920,547
"bribery","EFS",8,true,2,22361,53920,541
"bribery","EFS",9,true,2,22362,53923,443
"bribery","EFS",10,true,2,22368,53998,425
"bribery","GFS",1,true,2,88,968,4
"bribery","GFS",2,true,2,100,1098,2
"bribery","GFS",3,true,2,87,958,3
"bribery","GFS",4,true,2,79,868,3
"bribery","GFS",5,true,2,88,968,2
"bribery","GFS",6,true,2,80,878,2
"bribery","GFS",7,true,2,99,1088,4
"bribery","GFS",8,true,2,99,1088,2
"bribery","GFS",9,true,2,99,1088,2
"bribery","GFS",10,true,2,90,988,3
"bribery","A* h+",1,true,2,2,37,1
"bribery","A* h+",2,true,2,2,37,0
"bribery","A* h+",3,true,2,2,37,2
"bribery","A* h+",4,true,2,2,37,0
"bribery","A* h+",5,true,2,2,37,2
"bribery","A* h+",6,true,2,2,37,2
"bribery","A* h+",7,true,2,2,37,1
"bribery","A* h+",8,true,2,2,37,0
"bribery","A* h+",9,true,2,2,37,1
"bribery","A* h+",10,true,2,2,37,0
"bribery","A* hmax",1,true,2,2,37,0
"bribery","A* hmax",2,true,2,2,37,0
"bribery","A* hmax",3,true,2,2,37,1
"bribery","A* hmax",4,true,2,2,37,1
"bribery","A* hmax",5,true,2,2,37,0
"bribery","A* hmax",6,true,2,2,37,0
"bribery","A* hmax",7,true,2,2,37,0
"bribery","A* hmax",8,true,2,2,37,1
"bribery","A* hmax",9,true,2,2,37,2
"bribery","A* hmax",10,true,2,2,37,1
"bribery","A* rp",1,true,2,2,37,3
"bribery","A* rp",2,true,2,2,37,1
"bribery","A* rp",3,true,2,2,37,3
"bribery","A* rp",4,true,2,2,37,0
"bribery","A* rp",5,true,2,2,37,0
"bribery","A* rp",6,true,2,2,37,1
"bribery","A* rp",7,true,2,2,37,1
"bribery","A* rp",8,true,2,2,37,0
"bribery","A* rp",9,true,2,2,37,2
"bribery","A* rp",10,true,2,2,37,4
"bribery","EFS h+",1,true,2,5743,15047,276
"bribery","EFS h+",2,true,2,5743,15047,270
"bribery","EFS h+",3,true,2,5743,15047,377
