"Problem","Planner","Successes","Min Plan Length","Max Plan Length","Avg. Plan Length","Plan Length Std.","Min Nodes Visited","Max Nodes Visited","Avg. Nodes Visited","Nodes Visited Std.","Min Nodes Generated","Max Nodes Generated","Avg. Nodes Generated","Nodes Generated Std.","Min Time (ms)","Max Time (ms)","Avg. Time (ms)","Time Std. (ms)"
"bribery","BFS",10,2,2,2.0,0.0,8,10,9.2,0.7483314773547883,145,177,164.2,11.973303637676613,0,3,1.0,0.7745966692414834
"bribery","EFS",10,2,2,2.0,0.0,22360,22368,22363.7,3.348133808556641,53917,53998,53950.9,37.87730191024699,351,485,425.8,46.26402490056393
"bribery","GFS",10,2,2,2.0,0.0,79,100,90.9,7.569015788066505,868,1098,999.0,83.12039460926542,1,4,2.1,0.7
"bribery","A* h+",10,2,2,2.0,0.0,2,2,2.0,0.0,37,37,37.0,0.0,0,7,1.3,1.9519221295943137
"bribery","A* hmax",10,2,2,2.0,0.0,2,2,2.0,0.0,37,37,37.0,0.0,0,3,0.6,0.9165151389911681
"bribery","A* rp",10,2,2,2.0,0.0,2,2,2.0,0.0,37,37,37.0,0.0,0,3,0.8,0.8717797887081348
"bribery","EFS h+",10,2,2,2.0,0.0,5743,5744,5743.3,0.45825756949558405,15047,15050,15047.9,1.374772708486752,295,327,314.9,9.342911751697113
"bribery","EFS hmax",10,2,2,2.0,0.0,600,601,600.3,0.45825756949558405,5716,5719,5716.9,1.374772708486752,90,142,112.9,17.677386684688436
"bribery","EFS rp",10,2,2,2.0,0.0,5743,5744,5743.3,0.45825756949558405,15047,15050,15047.9,1.374772708486752,372,513,429.2,48.97917924996294
"bribery","GFS h+",10,2,2,2.0,0.0,3,3,3.0,0.0,32,32,32.0,0.0,0,1,0.7,0.45825756949558405
"bribery","GFS hmax",10,2,2,2.0,0.0,3,3,3.0,0.0,32,32,32.0,0.0,0,1,0.5,0.5
"bribery","GFS rp",10,2,2,2.0,0.0,3,3,3.0,0.0,32,32,32.0,0.0,0,5,0.6,1.4966629547095767
"deerhunter_any","BFS",10,6,6,6.0,0.0,10100,10108,10104.0,4.0,81729,81848,81788.5,59.5,2339,2618,2483.1,108.68895988093732
"deerhunter_any","EFS",10,6,6,6.0,0.0,5896,6106,6001.0,105.0,24161,24330,24245.5,84.5,1131,1273,1193.4,57.353639814749336
"deerhunter_any","GFS",10,6,6,6.0,0.0,66442,66505,66473.5,31.5,519209,519888,519548.5,339.5,15119,16728,15694.0,474.06982608050475
"deerhunter_any","A* h+",10,6,6,6.0,0.0,4472,4472,4472.0,0.0,57760,57760,57760.0,0.0,6527,7469,6937.5,376.0646885842913
"deerhunter_any","A* hmax",10,6,6,6.0,0.0,436,437,436.5,0.5,6335,6353,6344.0,9.0,530,728,598.0,63.52952069707436
"deerhunter_any","A* rp",10,6,6,6.0,0.0,238,1973,932.0,849.9729407457628,3640,24726,12074.4,10329.988143265218,340,3061,1391.1,1265.2307655127581
"deerhunter_any","EFS h+",10,6,6,6.0,0.0,65,65,65.0,0.0,485,485,485.0,0.0,38,58,50.4,6.151422599691879
"deerhunter_any","EFS hmax",10,6,6,6.0,0.0,190,197,193.5,3.5,1571,1641,1606.0,35.0,147,199,173.0,13.505554412907307
